dataset,scenario,model,signal,metric,spearman_mean,spearman_std,pearson_mean,pearson_std,n_seeds_valid
credit,abrupt_group_mag0.5,xgb,per_subgroup_baseline_relative[maj_neg],DI_star,-0.5186009550876511,0.10663468294058336,-0.828146537903231,0.1151045825915032,20
credit,abrupt_group_mag0.5,xgb,per_subgroup_baseline_relative[maj_neg],AOD_star,-0.561203007518797,0.12423692122472398,-0.8320824003054195,0.12011696597686493,20
credit,abrupt_group_mag0.5,xgb,per_subgroup_baseline_relative[maj_neg],BalAcc,-0.30548872180451114,0.14421144754188417,-0.3644465852587181,0.1259346989756264,20
credit,abrupt_group_mag0.5,xgb,per_subgroup_ewma[maj_pos],DI_star,-0.5855962079368173,0.08477345960848372,-0.8387836014753864,0.013344161324496426,20
credit,abrupt_group_mag0.5,xgb,per_subgroup_ewma[maj_pos],AOD_star,-0.5418045112781954,0.09060708808797098,-0.8352059488266985,0.016621661717360462,20
credit,abrupt_group_mag0.5,xgb,per_subgroup_ewma[maj_pos],BalAcc,-0.2768421052631579,0.2070785894325342,-0.3241034334241079,0.17729691481670165,20
credit,abrupt_group_mag0.5,xgb,per_subgroup_baseline_relative[maj_pos],DI_star,-0.5331174089081099,0.13981208226118544,-0.9759408541879058,0.007860734833256057,20
credit,abrupt_group_mag0.5,xgb,per_subgroup_baseline_relative[maj_pos],AOD_star,-0.5840601503759398,0.11440970717380641,-0.9794594092533304,0.005792606016765529,20
credit,abrupt_group_mag0.5,xgb,per_subgroup_baseline_relative[maj_pos],BalAcc,-0.42541353383458647,0.19366932413721172,-0.44699517450093296,0.15574327465197046,20
credit,abrupt_group_mag1.0,lr,global_mean,DI_star,0.5775187969924811,0.1277066949829479,0.9217745595914402,0.0760623723089684,20
credit,abrupt_group_mag1.0,lr,global_mean,AOD_star,0.5990977443609022,0.12070552205212187,0.9377653206209633,0.06490339500127394,20
credit,abrupt_group_mag1.0,lr,global_mean,BalAcc,-0.07669172932330828,0.19459715720592677,-0.08326248314513113,0.17315169948940828,20
credit,abrupt_group_mag1.0,lr,global_ewma,DI_star,0.6033082706766917,0.111273724762864,0.7934723117031858,0.09236756755709143,20
credit,abrupt_group_mag1.0,lr,global_ewma,AOD_star,0.593609022556391,0.11186077433115064,0.8028411517548824,0.07684530416534056,20
credit,abrupt_group_mag1.0,lr,global_ewma,BalAcc,-0.06045112781954887,0.14224053711823298,-0.08225565840848756,0.11964860966969462,20
